Cell,SampleID,seurat_clusters,CellType1,nCount_RNA,nFeature_RNA,percent.mt,percent.rb,FibroblastScore1,FibroblastScoreFull,umap_1,umap_2
1780,Adipo_Cocultured,5,Monocytes,2086,1154,8.3413,5.1294,-0.057628,0.184679,1.354817,5.736494
8809,Adipo_Cocultured,5,Monocytes,2036,1122,6.5815,7.2692,-0.06585,-0.090329,1.31655,5.92873
12169,Fibro_Cocultured,3,Macrophages,3144,1730,5.9796,3.2125,-0.124385,0.162693,2.96626,-4.651401
17777,Adipo_Cocultured,1,Monocytes,3638,1647,8.3288,5.4151,-0.122143,0.321657,-0.340491,1.947693
18126,Adipo_Cocultured,10,Myeloid Progenitors,7955,3321,6.4111,8.4852,-0.11103,-0.049727,-3.831592,6.200285
26355,Adipo_Cocultured,4,Macrophages,3366,1601,7.8431,6.0903,-0.093943,0.34987,2.227254,0.677484
32704,Adipo_Cocultured,5,Monocytes,3376,1552,4.7986,4.8874,-0.13521,0.48487,1.343819,3.663704
33146,Adipo_Cocultured,1,Monocytes,4010,1685,8.9027,5.6359,-0.115326,0.384919,0.617359,2.985663
34606,Adipo_Cocultured,6,Myeloid Progenitors,3827,1956,6.4803,11.0008,-0.078955,0.084497,-2.91027,4.162549
39746,Fibro_Cocultured,0,Macrophages,2622,1504,12.0137,2.5934,-0.104479,0.104641,4.649664,-2.996396
45562,Fibro_Cocultured,7,T Cells,2714,1433,7.7745,9.3957,-0.070283,0.310546,-6.903901,0.622857
49307,Adipo_Cocultured,0,Macrophages,3515,1618,8.3073,3.6984,-0.119368,0.204818,4.696022,0.001482
54293,Adipo_Cocultured,6,Myeloid Progenitors,4831,2212,5.5889,3.1256,-0.156175,0.093998,-5.766708,3.486966
56410,Adipo_Cocultured,1,Monocytes,1559,844,10.9686,2.6299,-0.142964,0.412513,0.825373,-1.492713
58405,Fibro_Cocultured,3,Macrophages,3168,1820,7.6073,4.072,-0.141464,0.017818,2.162911,-4.945229
59608,Adipo_Cocultured,2,Macrophages,5103,1994,8.0933,5.0558,-0.113842,0.164852,4.983182,-0.95495
65347,Adipo_Cocultured,9,T Cells,2453,1523,4.7697,6.2373,-0.114842,0.184058,-6.503863,2.602977
67733,Fibro_Cocultured,2,Macrophages,3620,1857,5.9945,4.116,-0.120894,0.141208,4.773456,-3.507342
69799,Adipo_Cocultured,10,Myeloid Progenitors,6345,2652,8.0693,9.3302,-0.127829,-0.086495,-3.497872,7.352547
84587,Fibro_Cocultured,8,NK Cells,1954,1103,1.1771,13.8178,-0.070914,0.003934,-10.877965,-0.685519
86607,Adipo_Cocultured,5,Monocytes,1398,861,5.794,5.2217,-0.103146,0.106602,1.381244,5.12688
95153,Adipo_Cocultured,0,Macrophages,5836,2234,7.2995,4.2838,-0.126183,0.097817,5.991728,-1.566937
98347,Fibro_Cocultured,3,Macrophages,5088,2515,4.8742,3.7146,-0.151391,0.033053,2.221906,-4.705254
101527,Adipo_Cocultured,1,Monocytes,1622,918,6.4118,6.5968,-0.099228,0.134142,-0.785819,2.041186
104421,Fibro_Cocultured,7,T Cells,1667,991,9.2382,11.3377,-0.155609,0.528834,-5.973189,-0.701541
110670,Fibro_Cocultured,1,Monocytes,5116,2073,6.4504,2.8342,-0.108603,0.160975,1.669212,1.366036
118939,Adipo_Cocultured,4,Macrophages,4152,1816,6.5029,4.6002,-0.108281,0.109525,0.403176,0.310112
119031,Fibro_Cocultured,9,T Cells,2702,1557,6.8838,5.9585,-0.09532,0.095221,-6.519062,2.540188
125177,Adipo_Cocultured,6,Myeloid Progenitors,1668,944,4.3165,6.7146,-0.118881,0.140518,-2.617475,7.679376
128633,Adipo_Cocultured,0,Macrophages,4448,1871,3.9344,3.0576,-0.112608,0.064845,3.382867,-1.428614
138559,Fibro_Cocultured,0,Macrophages,2000,1141,4.25,2.75,-0.071861,0.070303,4.19835,-0.917596
141029,Fibro_Cocultured,7,T Cells,1510,1013,6.0265,6.1589,-0.047781,0.096342,-7.950761,-0.45396
144515,Adipo_Cocultured,4,Macrophages,6387,2425,7.0299,5.292,-0.178479,0.17145,1.185558,-0.248756
148591,Fibro_Cocultured,3,Macrophages,3273,1959,3.9413,4.3996,-0.079964,-0.019425,1.639531,-4.862184
148674,Adipo_Cocultured,5,Monocytes,1916,1052,9.7599,10.334,-0.125068,0.376002,0.804003,5.435437
153261,Fibro_Cocultured,2,Macrophages,4440,2099,7.7252,3.3108,-0.115195,0.150309,5.308479,-3.274229
157520,Adipo_Cocultured,11,T Cells,4326,1894,4.9931,5.2936,-0.096515,0.351111,-6.90727,-1.691765
163822,Fibro_Cocultured,0,Macrophages,2682,1429,9.6197,2.349,-0.154111,-0.035604,6.08497,-1.534868
172911,Adipo_Cocultured,0,Macrophages,2864,1263,6.1802,5.0279,-0.055045,0.112488,2.871575,-1.089781
177019,Fibro_Cocultured,0,Macrophages,4505,2089,6.859,2.1532,-0.11862,0.109547,3.927591,-2.177759
178044,Adipo_Cocultured,5,Monocytes,1906,1104,4.617,3.043,-0.052974,-0.074821,2.574316,3.646761
