Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Mmp12,0,4.91117227947187,0.636,0.171,0
Calr,0,2.24658730091502,0.871,0.66,0
Fth1,0,1.66796666575334,1,0.999,0
Ftl1,0,1.28351877925737,1,0.999,0
Tpt1,1.50210871503995e-293,1.41598079631082,0.984,0.951,3.93282103771759e-289
S100a6,3.812725812202e-277,2.17641222521864,0.831,0.506,9.98247872150728e-273
Mmp8,1.5912027654105e-275,3.33803990630023,0.55,0.155,4.16608708039776e-271
Fcgr4,3.78430060543225e-271,-1.73130381150675,0.534,0.885,9.90805584514271e-267
Hspa5,5.79229125935813e-263,2.14795544667759,0.823,0.569,1.51653769752514e-258
Tmsb4x,5.02509337240867e-262,1.23186963584801,0.992,0.997,1.31566994676404e-257
Tmsb10,3.78531280878186e-253,1.97598869639507,0.922,0.741,9.91070599595266e-249
Gbp2,1.58574166734617e-251,-1.0464471908599,0.822,0.984,4.15178883344573e-247
Wfdc17,2.00716715675328e-237,2.3518104936207,0.831,0.597,5.25516504981145e-233
Sh3bgrl3,7.31914045336173e-234,1.18968182207979,0.962,0.913,1.91629735349917e-229
Il1rn,3.57101622876783e-231,2.82746997232981,0.6,0.228,9.34963469015993e-227
Gbp4,1.59852528798089e-230,-1.44854511293939,0.537,0.879,4.18525890899157e-226
Spp1,5.69524111429475e-225,2.7878577041837,0.695,0.343,1.49112802854465e-220
Anxa1,6.07703144408183e-204,1.95477514001097,0.751,0.466,1.5910883726895e-199
Clec4n,2.21501741903753e-203,1.79466927164989,0.858,0.635,5.79935860652405e-199
Mmp13,1.02709728166948e-202,5.32486087689554,0.295,0.039,2.68914610286703e-198
Plin2,1.6337398214062e-202,-1.20572707974659,0.712,0.936,4.27745760040573e-198
Eef1a1,7.29294984599837e-197,1.01522708494651,0.984,0.96,1.90944012867929e-192
H3f3a,4.58652297485052e-193,1.32912607824743,0.895,0.73,1.20084344527536e-188
S100a4,1.34049430540173e-192,3.49200381592233,0.311,0.049,3.50968219040281e-188
Pf4,8.7580966857937e-184,2.66924314073235,0.792,0.609,2.29304487427451e-179
C1qb,1.22063505576746e-181,-1.22585678659795,0.582,0.889,3.19586670301036e-177
Lilrb4b,2.1704214886748e-178,1.05223075760921,0.968,0.928,5.68259754164836e-174
C1qc,8.19555054400945e-177,-1.26125070296278,0.538,0.874,2.14575904343255e-172
Ifi27l2a,1.8661232582213e-174,3.08511349831165,0.395,0.109,4.88588391467502e-170
Gbp7,1.92595407491385e-172,-1.20582604106359,0.648,0.9,5.04253295893943e-168
Ly6e,3.06646740597657e-172,0.989475763202066,0.962,0.898,8.02862496232786e-168
Hsp90b1,4.03822945877653e-160,1.54554944023679,0.817,0.694,1.05728923689687e-155
Ptma,2.84754715359133e-159,1.15989062710675,0.928,0.891,7.45544795753283e-155
Csta2,1.80534585392433e-157,3.84884973552546,0.336,0.082,4.72675651474468e-153
B2m,2.09995688741287e-148,0.550950645975293,1,1,5.49810712262438e-144
Lpl,4.02558905863373e-146,2.03282156062148,0.811,0.674,1.05397972733148e-141
Ly6a,2.32303340168334e-143,0.910150654210808,0.965,0.837,6.08216605228731e-139
Anpep,5.08850720559831e-142,1.61465321132401,0.717,0.472,1.33227295656975e-137
Id2,8.92784578688965e-142,1.56695964200091,0.851,0.678,2.33748858392345e-137
Igtp,4.54010439380867e-139,-1.32692391607936,0.395,0.741,1.18869013238699e-134
Abca1,6.02789295394004e-139,-1.62028716616416,0.371,0.694,1.57822293320058e-134
Tgm2,1.30355973090615e-138,-1.78738798854092,0.388,0.717,3.41298008745847e-134
Anxa4,7.23028887515375e-137,1.23545229418696,0.837,0.718,1.89303423329276e-132
Picalm,4.57492632633968e-136,-1.00181265667458,0.69,0.897,1.19780721076225e-131
Pdpn,5.62373650979028e-135,1.17577177000402,0.805,0.57,1.47240669299329e-130
Ass1,4.04308401562639e-133,2.22653045948128,0.41,0.147,1.0585602569713e-128
Cstb,4.94011650857193e-133,0.88205498953555,0.993,0.976,1.2934213042743e-128
Rps26,5.41127429594859e-132,0.874497463543241,0.969,0.968,1.41677983616526e-127
Tagln2,2.02448220699694e-128,0.955760239286391,0.917,0.857,5.30049931435938e-124
Lsp1,4.41720442801871e-128,2.26895363842155,0.345,0.104,1.15651246334386e-123
Ubc,5.35723831411733e-125,1.16151302784511,0.965,0.951,1.4026321354022e-120
