Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Mmp8,1.17021994306456e-43,4.27416486539859,0.381,0.078,3.06386985493163e-39
Wfdc21,8.66630668636958e-27,4.89966369944421,0.148,0.013,2.26901241662528e-22
Scp2,1.16303139756115e-25,2.74486798196679,0.216,0.037,3.04504880509459e-21
Myadm,2.48808251665164e-25,2.60469306558212,0.377,0.12,6.51429764509732e-21
Clec4n,5.94214346044664e-24,2.78328424046617,0.386,0.14,1.55577200081414e-19
mt-Cytb,9.88356612675737e-24,-0.618549921095688,0.992,0.999,2.58771528330761e-19
Tgfbi,2.40892231720314e-22,3.74348452817875,0.169,0.026,6.30704041090125e-18
Clec4e,4.31374758416587e-21,2.51299760882576,0.212,0.045,1.12942539248631e-16
Itgam,2.03637061069185e-20,1.95809936768493,0.419,0.17,5.33162553291339e-16
Slpi,2.5078943133499e-20,3.61835724161257,0.153,0.023,6.56616889121272e-16
Ccl6,7.07568443458506e-20,1.76453336632448,0.623,0.36,1.85255569866306e-15
Lpl,1.6156727599749e-19,2.88921394505878,0.403,0.172,4.23015442016629e-15
Ftl1,2.24930021995823e-19,1.89476462633123,0.805,0.63,5.88911783589464e-15
Cd33,3.54203907353316e-19,2.96401938380274,0.157,0.026,9.27376670232451e-15
Mmp12,3.66778557478337e-19,4.84497736021748,0.275,0.087,9.60299619189781e-15
Csf2rb,8.45740980233896e-19,2.16017978533566,0.301,0.1,2.21431903444839e-14
Il1rn,1.76153789012831e-18,3.38848707196037,0.195,0.043,4.61205850393394e-14
Wfdc17,2.37628166246082e-18,2.76727615526607,0.364,0.15,6.22158064865491e-14
Cstdc4,9.23125002263588e-18,4.75898412742711,0.297,0.106,2.41692588092653e-13
Sirpb1c,1.48102004774667e-17,2.14179692605341,0.225,0.06,3.87760668901032e-13
Alox5ap,1.69526475885343e-17,1.67831276984279,0.419,0.181,4.43854219163005e-13
Mcemp1,5.00858094070196e-17,4.30306059394264,0.089,0.007,1.31134666189459e-12
Ly6e,9.09623290289381e-17,0.576678218190315,0.983,0.928,2.38157569863566e-12
Csta2,1.27986966962389e-16,3.39560849995349,0.292,0.107,3.35095476900926e-12
Tmsb10,2.80044981156742e-16,0.689671997708545,0.992,0.974,7.33213769664581e-12
Cybb,3.71293041187092e-16,2.13616736345795,0.428,0.203,9.72119440436044e-12
App,4.35719415693128e-16,1.27198675431565,0.436,0.195,1.14080057416775e-11
Cd300lf,8.95806194648018e-16,2.12891951353069,0.335,0.137,2.34539977882744e-11
Ccl9,1.3947605150395e-15,2.25737256686943,0.386,0.18,3.65176198047643e-11
Fth1,1.419028246527e-15,2.3618504663425,0.928,0.902,3.71529975505698e-11
S100a8,1.53968988253978e-15,5.11408373363833,0.267,0.094,4.03121605046566e-11
Ifitm3,1.80721984507239e-15,1.08703674126136,0.555,0.322,4.73166299836854e-11
Lcn2,2.10525333960598e-15,3.64927030947685,0.182,0.046,5.51197429375637e-11
Aldoa,3.44626115888287e-15,0.5828320289377,0.975,0.964,9.02300096618712e-11
Psap,5.36338300902576e-15,1.31961648706944,0.809,0.672,1.40424093942312e-10
Arcn1,6.16454882765406e-15,1.26336555938944,0.513,0.279,1.61400217405639e-10
Ccnd2,8.53931629810969e-15,-0.938004486176471,0.826,0.911,2.23576379317108e-10
Tnfaip2,1.3744853391336e-14,1.74693846924594,0.318,0.129,3.5986775149196e-10
Anxa1,2.43965534231185e-14,1.5306096299701,0.432,0.22,6.38750561724088e-10
Ifitm1,6.39346242337177e-13,1.11518252149874,0.403,0.2,1.6739363316872e-08
Kcnq5,7.36575506602612e-13,-1.70432805548648,0.186,0.425,1.92850199138696e-08
Cebpb,1.07992445246018e-12,1.5235322767718,0.288,0.116,2.82745820143125e-08
Clec5a,1.37465559857512e-12,3.00131688070635,0.127,0.027,3.59912328818939e-08
mt-Nd4,1.41105145188511e-12,-0.430236287377228,1,0.999,3.69441491132561e-08
Csf2ra,1.58016261845818e-12,1.99092615539544,0.254,0.097,4.1371817676472e-08
Anxa4,2.90562247454236e-12,1.88581850943636,0.369,0.189,7.60750076284682e-08
Plxna1,3.41838859333226e-12,2.03212849576198,0.216,0.074,8.95002501506253e-08
Plaur,4.80446777972619e-12,2.11514528117179,0.254,0.101,1.25790575408791e-07
Bst1,5.42961676946213e-12,1.31103701753748,0.292,0.121,1.42158226258058e-07
Ckap4,6.42317778288427e-12,2.34647862865836,0.203,0.07,1.68171640711476e-07
Cxcl2,7.51404075496104e-12,3.79966882754438,0.11,0.022,1.9673261504639e-07
Clec4d,8.20914700403762e-12,0.800659403729198,0.398,0.189,2.14931886859713e-07
Ifitm6,1.24042119307072e-11,2.40725678073695,0.136,0.033,3.24767076769776e-07
Tyrobp,1.44112866476108e-11,1.18598647238501,0.475,0.273,3.77316307007747e-07
Cd68,1.57829509776941e-11,1.29144158325523,0.458,0.261,4.13229222497986e-07
Bcl2a1a,1.82206415576038e-11,3.57353324038785,0.047,0.002,4.77052837261182e-07
Ly6i,3.28383527125065e-11,2.88377345106873,0.076,0.01,8.59773750718846e-07
Pygl,3.81292567078132e-11,2.11984027370188,0.165,0.05,9.98300199123964e-07
Thy1,3.96623361236961e-11,-0.562922367717526,0.949,0.978,1.03843928439061e-06
Lipa,4.02094227876329e-11,1.3506393572545,0.398,0.213,1.05276310742581e-06
Clec7a,5.19200349788815e-11,2.69077155552582,0.225,0.089,1.35937035581708e-06
Lyz2,5.91406424739964e-11,1.69674616704701,0.699,0.568,1.54842030125417e-06
Nfkbia,6.87887980318789e-11,1.43168989852289,0.292,0.132,1.80102831007065e-06
Cd24a,7.4754268203304e-11,2.70677163541166,0.072,0.01,1.9572162500989e-06
Pgk1,7.98247752927775e-11,0.561310092869543,0.966,0.876,2.0899722667155e-06
