Cell,umap_1,umap_2,CellType1,colour
1780,1.354817,5.736494,Monocytes,#9897df
8809,1.31655,5.92873,Monocytes,#9897df
12169,2.96626,-4.651401,Macrophages,#f08592
17777,-0.340491,1.947693,Monocytes,#9897df
18126,-3.831592,6.200285,Myeloid Progenitors,#004583
26355,2.227254,0.677484,Macrophages,#f08592
32704,1.343819,3.663704,Monocytes,#9897df
33146,0.617359,2.985663,Monocytes,#9897df
34606,-2.91027,4.162549,Myeloid Progenitors,#004583
39746,4.649664,-2.996396,Macrophages,#f08592
45562,-6.903901,0.622857,T Cells,#f6d100
49307,4.696022,0.001482,Macrophages,#f08592
54293,-5.766708,3.486966,Myeloid Progenitors,#004583
56410,0.825373,-1.492713,Monocytes,#9897df
58405,2.162911,-4.945229,Macrophages,#f08592
59608,4.983182,-0.95495,Macrophages,#f08592
65347,-6.503863,2.602977,T Cells,#f6d100
67733,4.773456,-3.507342,Macrophages,#f08592
69799,-3.497872,7.352547,Myeloid Progenitors,#004583
84587,-10.877965,-0.685519,NK Cells,#8a001b
86607,1.381244,5.12688,Monocytes,#9897df
95153,5.991728,-1.566937,Macrophages,#f08592
98347,2.221906,-4.705254,Macrophages,#f08592
101527,-0.785819,2.041186,Monocytes,#9897df
104421,-5.973189,-0.701541,T Cells,#f6d100
110670,1.669212,1.366036,Monocytes,#9897df
118939,0.403176,0.310112,Macrophages,#f08592
119031,-6.519062,2.540188,T Cells,#f6d100
125177,-2.617475,7.679376,Myeloid Progenitors,#004583
128633,3.382867,-1.428614,Macrophages,#f08592
138559,4.19835,-0.917596,Macrophages,#f08592
141029,-7.950761,-0.45396,T Cells,#f6d100
144515,1.185558,-0.248756,Macrophages,#f08592
148591,1.639531,-4.862184,Macrophages,#f08592
148674,0.804003,5.435437,Monocytes,#9897df
153261,5.308479,-3.274229,Macrophages,#f08592
157520,-6.90727,-1.691765,T Cells,#f6d100
163822,6.08497,-1.534868,Macrophages,#f08592
172911,2.871575,-1.089781,Macrophages,#f08592
177019,3.927591,-2.177759,Macrophages,#f08592
178044,2.574316,3.646761,Monocytes,#9897df
179163,-6.816798,0.367879,T Cells,#f6d100
184852,-6.209072,2.823499,T Cells,#f6d100
185147,1.697905,2.954515,Monocytes,#9897df
185449,-3.351048,5.011683,Myeloid Progenitors,#004583
189879,3.809466,-2.835062,Macrophages,#f08592
195682,1.414367,4.182562,Monocytes,#9897df
198257,3.946968,-2.271291,Macrophages,#f08592
199186,2.423248,3.305434,Monocytes,#9897df
202493,1.394927,-3.135723,Macrophages,#f08592
204951,4.866471,-1.582886,Macrophages,#f08592
210916,0.733741,4.238761,Monocytes,#9897df
211187,-6.13844,-1.198594,T Cells,#f6d100
216713,3.786912,-1.368947,Macrophages,#f08592
219000,4.313004,0.752383,Macrophages,#f08592
224199,-2.863965,7.682485,Myeloid Progenitors,#004583
233144,2.612963,-4.844065,Macrophages,#f08592
234704,2.993919,0.698018,Macrophages,#f08592
237600,2.879024,3.128881,Monocytes,#9897df
237712,4.973294,-3.809918,Macrophages,#f08592
239703,-1.589595,7.405797,Myeloid Progenitors,#004583
241067,1.701985,4.940776,Monocytes,#9897df
243870,-6.944885,2.126241,T Cells,#f6d100
246563,0.856758,6.080436,Monocytes,#9897df
247481,3.891411,-1.252068,Macrophages,#f08592
248135,-0.362511,1.725136,Monocytes,#9897df
249260,0.57961,3.56823,Monocytes,#9897df
256588,4.898244,-2.908974,Macrophages,#f08592
259785,3.415751,-1.019436,Macrophages,#f08592
264750,4.359452,0.020544,Macrophages,#f08592
289598,-9.558129,0.220223,NK Cells,#8a001b
290186,1.938695,-1.063368,Macrophages,#f08592
293045,0.633194,1.184836,Monocytes,#9897df
294590,0.380949,-4.19655,Macrophages,#f08592
294738,1.919577,2.238454,Monocytes,#9897df
306693,-0.542939,1.360279,Monocytes,#9897df
310693,1.489677,-3.894033,Macrophages,#f08592
312100,-9.197597,-1.719102,NK Cells,#8a001b
316442,0.977001,0.739578,Macrophages,#f08592
320968,5.07803,-2.583636,Macrophages,#f08592
325482,0.017182,7.223185,Neutrophils,#c38200
325851,3.814367,-4.714268,Macrophages,#f08592
326654,-6.647514,0.409512,T Cells,#f6d100
340067,-9.234539,-2.035272,NK Cells,#8a001b
347090,-9.461094,-1.499263,NK Cells,#8a001b
349438,5.017837,-1.621456,Macrophages,#f08592
352116,4.748507,-0.770314,Macrophages,#f08592
353482,-1.173291,3.442143,Myeloid Progenitors,#004583
364212,-0.317395,-0.356471,Monocytes,#9897df
364721,1.120782,0.091487,Macrophages,#f08592
366215,3.467397,-3.204119,Macrophages,#f08592
371015,5.075863,-2.441018,Macrophages,#f08592
371855,3.100585,-2.784399,Macrophages,#f08592
373499,0.301761,-0.567511,Macrophages,#f08592
375164,2.058547,-2.046592,Macrophages,#f08592
379967,3.338515,-1.638986,Macrophages,#f08592
388777,1.812935,0.38631,Macrophages,#f08592
389669,3.538987,-3.988511,Macrophages,#f08592
393622,2.306063,-3.191092,Macrophages,#f08592
396265,-7.767063,-0.961852,T Cells,#f6d100
398077,0.012039,-3.154082,Macrophages,#f08592
401087,5.191104,-3.349316,Macrophages,#f08592
402638,-10.110559,-1.132378,NK Cells,#8a001b
404022,3.490197,0.468299,Macrophages,#f08592
410541,2.608543,-3.319521,Macrophages,#f08592
415503,2.700692,-3.947844,Macrophages,#f08592
429529,-0.068495,3.117664,Monocytes,#9897df
446390,0.631136,0.0926,Monocytes,#9897df
448733,-7.022772,2.651986,T Cells,#f6d100
448916,3.124203,0.475565,Macrophages,#f08592
452090,-7.693919,-1.080323,T Cells,#f6d100
458949,3.974688,-0.351009,Macrophages,#f08592
464211,1.436564,-0.909859,Macrophages,#f08592
466240,2.673737,-4.763858,Macrophages,#f08592
468521,-6.585979,0.726885,T Cells,#f6d100
472383,-0.331769,-0.288942,Monocytes,#9897df
479573,-3.447104,6.77545,Myeloid Progenitors,#004583
481320,-0.077981,-1.588915,Macrophages,#f08592
482920,-6.524277,2.755298,T Cells,#f6d100
494298,1.94682,4.026582,Monocytes,#9897df
494511,-0.178627,2.090009,Monocytes,#9897df
498868,-7.598363,1.803338,T Cells,#f6d100
503861,2.422233,-2.672933,Macrophages,#f08592
512039,4.69987,-4.059988,Macrophages,#f08592
515214,2.515211,-4.983391,Macrophages,#f08592
520537,-8.14825,1.858496,T Cells,#f6d100
524130,2.214475,0.15624,Macrophages,#f08592
526731,2.419909,-2.134337,Macrophages,#f08592
541331,-6.837879,1.46707,T Cells,#f6d100
545415,3.852914,-4.297025,Macrophages,#f08592
556733,4.946594,-0.102398,Macrophages,#f08592
560580,-7.477358,-1.082413,T Cells,#f6d100
564128,-10.881626,0.232049,NK Cells,#8a001b
568163,-5.836819,-1.049031,T Cells,#f6d100
575228,2.063092,-2.400991,Macrophages,#f08592
580013,3.950934,-0.120991,Monocytes,#9897df
580809,0.372621,-0.366754,Monocytes,#9897df
586033,-0.229388,-3.989127,Macrophages,#f08592
589491,-6.305572,1.820589,T Cells,#f6d100
593997,-6.81518,-1.412119,T Cells,#f6d100
595041,3.908295,-1.474725,Macrophages,#f08592
598880,-5.934981,-0.447621,T Cells,#f6d100
602122,1.866474,-0.481032,Macrophages,#f08592
605546,3.906903,-0.095211,Macrophages,#f08592
609287,3.977676,-3.394102,Macrophages,#f08592
609482,3.699504,-1.498157,Macrophages,#f08592
621632,4.870838,-1.115695,Macrophages,#f08592
626827,-5.857082,-0.738806,T Cells,#f6d100
628185,1.960129,-4.150066,Macrophages,#f08592
628920,5.286309,-1.850726,Macrophages,#f08592
628965,1.754692,-2.731179,Macrophages,#f08592
629580,3.448926,-3.915691,Macrophages,#f08592
630880,3.134265,-4.033246,Macrophages,#f08592
633002,4.366779,-2.347949,Macrophages,#f08592
641485,3.812665,-1.636092,Macrophages,#f08592
642073,0.759364,4.316986,Monocytes,#9897df
645294,0.976677,2.191733,Monocytes,#9897df
651543,4.354067,0.050853,Macrophages,#f08592
651900,4.025724,-2.107198,Macrophages,#f08592
654197,2.932444,-4.4589,Macrophages,#f08592
655306,-6.712156,3.065443,T Cells,#f6d100
661069,5.385645,-0.619888,Macrophages,#f08592
666090,-6.758887,2.097336,T Cells,#f6d100
667139,-7.193234,2.807768,T Cells,#f6d100
669064,4.260274,-3.714072,Macrophages,#f08592
676439,0.662173,-1.316248,Macrophages,#f08592
682498,3.931332,0.940609,Macrophages,#f08592
690062,4.45977,-0.202854,Macrophages,#f08592
705077,-6.357303,2.115673,T Cells,#f6d100
