Cell,umap_1,umap_2,SampleID,AdipoAlpha,FibroAlpha
1780,1.354817,5.736494,Adipo_Cocultured,1,0.3
8809,1.31655,5.92873,Adipo_Cocultured,1,0.3
12169,2.96626,-4.651401,Fibro_Cocultured,0.3,1
17777,-0.340491,1.947693,Adipo_Cocultured,1,0.3
18126,-3.831592,6.200285,Adipo_Cocultured,1,0.3
26355,2.227254,0.677484,Adipo_Cocultured,1,0.3
32704,1.343819,3.663704,Adipo_Cocultured,1,0.3
33146,0.617359,2.985663,Adipo_Cocultured,1,0.3
34606,-2.91027,4.162549,Adipo_Cocultured,1,0.3
39746,4.649664,-2.996396,Fibro_Cocultured,0.3,1
45562,-6.903901,0.622857,Fibro_Cocultured,0.3,1
49307,4.696022,0.001482,Adipo_Cocultured,1,0.3
54293,-5.766708,3.486966,Adipo_Cocultured,1,0.3
56410,0.825373,-1.492713,Adipo_Cocultured,1,0.3
58405,2.162911,-4.945229,Fibro_Cocultured,0.3,1
59608,4.983182,-0.95495,Adipo_Cocultured,1,0.3
65347,-6.503863,2.602977,Adipo_Cocultured,1,0.3
67733,4.773456,-3.507342,Fibro_Cocultured,0.3,1
69799,-3.497872,7.352547,Adipo_Cocultured,1,0.3
84587,-10.877965,-0.685519,Fibro_Cocultured,0.3,1
86607,1.381244,5.12688,Adipo_Cocultured,1,0.3
95153,5.991728,-1.566937,Adipo_Cocultured,1,0.3
98347,2.221906,-4.705254,Fibro_Cocultured,0.3,1
101527,-0.785819,2.041186,Adipo_Cocultured,1,0.3
104421,-5.973189,-0.701541,Fibro_Cocultured,0.3,1
110670,1.669212,1.366036,Fibro_Cocultured,0.3,1
118939,0.403176,0.310112,Adipo_Cocultured,1,0.3
119031,-6.519062,2.540188,Fibro_Cocultured,0.3,1
125177,-2.617475,7.679376,Adipo_Cocultured,1,0.3
128633,3.382867,-1.428614,Adipo_Cocultured,1,0.3
138559,4.19835,-0.917596,Fibro_Cocultured,0.3,1
141029,-7.950761,-0.45396,Fibro_Cocultured,0.3,1
144515,1.185558,-0.248756,Adipo_Cocultured,1,0.3
148591,1.639531,-4.862184,Fibro_Cocultured,0.3,1
148674,0.804003,5.435437,Adipo_Cocultured,1,0.3
153261,5.308479,-3.274229,Fibro_Cocultured,0.3,1
157520,-6.90727,-1.691765,Adipo_Cocultured,1,0.3
163822,6.08497,-1.534868,Fibro_Cocultured,0.3,1
172911,2.871575,-1.089781,Adipo_Cocultured,1,0.3
177019,3.927591,-2.177759,Fibro_Cocultured,0.3,1
178044,2.574316,3.646761,Adipo_Cocultured,1,0.3
179163,-6.816798,0.367879,Fibro_Cocultured,0.3,1
184852,-6.209072,2.823499,Fibro_Cocultured,0.3,1
185147,1.697905,2.954515,Adipo_Cocultured,1,0.3
185449,-3.351048,5.011683,Adipo_Cocultured,1,0.3
189879,3.809466,-2.835062,Adipo_Cocultured,1,0.3
195682,1.414367,4.182562,Fibro_Cocultured,0.3,1
198257,3.946968,-2.271291,Fibro_Cocultured,0.3,1
199186,2.423248,3.305434,Adipo_Cocultured,1,0.3
202493,1.394927,-3.135723,Fibro_Cocultured,0.3,1
204951,4.866471,-1.582886,Adipo_Cocultured,1,0.3
210916,0.733741,4.238761,Adipo_Cocultured,1,0.3
211187,-6.13844,-1.198594,Fibro_Cocultured,0.3,1
216713,3.786912,-1.368947,Fibro_Cocultured,0.3,1
219000,4.313004,0.752383,Adipo_Cocultured,1,0.3
224199,-2.863965,7.682485,Adipo_Cocultured,1,0.3
233144,2.612963,-4.844065,Fibro_Cocultured,0.3,1
234704,2.993919,0.698018,Fibro_Cocultured,0.3,1
237600,2.879024,3.128881,Adipo_Cocultured,1,0.3
237712,4.973294,-3.809918,Fibro_Cocultured,0.3,1
239703,-1.589595,7.405797,Adipo_Cocultured,1,0.3
241067,1.701985,4.940776,Adipo_Cocultured,1,0.3
243870,-6.944885,2.126241,Adipo_Cocultured,1,0.3
246563,0.856758,6.080436,Adipo_Cocultured,1,0.3
247481,3.891411,-1.252068,Fibro_Cocultured,0.3,1
248135,-0.362511,1.725136,Adipo_Cocultured,1,0.3
249260,0.57961,3.56823,Adipo_Cocultured,1,0.3
256588,4.898244,-2.908974,Fibro_Cocultured,0.3,1
259785,3.415751,-1.019436,Fibro_Cocultured,0.3,1
264750,4.359452,0.020544,Fibro_Cocultured,0.3,1
289598,-9.558129,0.220223,Fibro_Cocultured,0.3,1
290186,1.938695,-1.063368,Fibro_Cocultured,0.3,1
293045,0.633194,1.184836,Adipo_Cocultured,1,0.3
294590,0.380949,-4.19655,Fibro_Cocultured,0.3,1
294738,1.919577,2.238454,Adipo_Cocultured,1,0.3
306693,-0.542939,1.360279,Adipo_Cocultured,1,0.3
310693,1.489677,-3.894033,Fibro_Cocultured,0.3,1
312100,-9.197597,-1.719102,Fibro_Cocultured,0.3,1
316442,0.977001,0.739578,Adipo_Cocultured,1,0.3
320968,5.07803,-2.583636,Fibro_Cocultured,0.3,1
325482,0.017182,7.223185,Adipo_Cocultured,1,0.3
325851,3.814367,-4.714268,Fibro_Cocultured,0.3,1
326654,-6.647514,0.409512,Fibro_Cocultured,0.3,1
340067,-9.234539,-2.035272,Fibro_Cocultured,0.3,1
347090,-9.461094,-1.499263,Fibro_Cocultured,0.3,1
349438,5.017837,-1.621456,Fibro_Cocultured,0.3,1
352116,4.748507,-0.770314,Adipo_Cocultured,1,0.3
353482,-1.173291,3.442143,Fibro_Cocultured,0.3,1
364212,-0.317395,-0.356471,Adipo_Cocultured,1,0.3
364721,1.120782,0.091487,Adipo_Cocultured,1,0.3
366215,3.467397,-3.204119,Fibro_Cocultured,0.3,1
371015,5.075863,-2.441018,Adipo_Cocultured,1,0.3
371855,3.100585,-2.784399,Fibro_Cocultured,0.3,1
373499,0.301761,-0.567511,Adipo_Cocultured,1,0.3
375164,2.058547,-2.046592,Fibro_Cocultured,0.3,1
379967,3.338515,-1.638986,Fibro_Cocultured,0.3,1
388777,1.812935,0.38631,Fibro_Cocultured,0.3,1
389669,3.538987,-3.988511,Fibro_Cocultured,0.3,1
393622,2.306063,-3.191092,Adipo_Cocultured,1,0.3
396265,-7.767063,-0.961852,Fibro_Cocultured,0.3,1
398077,0.012039,-3.154082,Adipo_Cocultured,1,0.3
401087,5.191104,-3.349316,Fibro_Cocultured,0.3,1
402638,-10.110559,-1.132378,Fibro_Cocultured,0.3,1
404022,3.490197,0.468299,Fibro_Cocultured,0.3,1
410541,2.608543,-3.319521,Fibro_Cocultured,0.3,1
415503,2.700692,-3.947844,Fibro_Cocultured,0.3,1
429529,-0.068495,3.117664,Adipo_Cocultured,1,0.3
446390,0.631136,0.0926,Fibro_Cocultured,0.3,1
448733,-7.022772,2.651986,Fibro_Cocultured,0.3,1
448916,3.124203,0.475565,Fibro_Cocultured,0.3,1
452090,-7.693919,-1.080323,Adipo_Cocultured,1,0.3
458949,3.974688,-0.351009,Adipo_Cocultured,1,0.3
464211,1.436564,-0.909859,Fibro_Cocultured,0.3,1
466240,2.673737,-4.763858,Fibro_Cocultured,0.3,1
468521,-6.585979,0.726885,Fibro_Cocultured,0.3,1
472383,-0.331769,-0.288942,Adipo_Cocultured,1,0.3
479573,-3.447104,6.77545,Adipo_Cocultured,1,0.3
481320,-0.077981,-1.588915,Fibro_Cocultured,0.3,1
482920,-6.524277,2.755298,Fibro_Cocultured,0.3,1
494298,1.94682,4.026582,Adipo_Cocultured,1,0.3
