Gene,avg_log2FC,p_val,p_val_adj,neg_log10_p_adj,pct.1,pct.2,Class,Labelled
Mmp8,4.27416486539859,1.17021994306456e-43,3.06386985493163e-39,38.5137296863258,0.381,0.078,p_adj_and_log2FC,TRUE
Wfdc21,4.89966369944421,8.66630668636958e-27,2.26901241662528e-22,21.6441631275364,0.148,0.013,p_adj_and_log2FC,TRUE
Scp2,2.74486798196679,1.16303139756115e-25,3.04504880509459e-21,20.5164057422385,0.216,0.037,p_adj_and_log2FC,TRUE
Myadm,2.60469306558212,2.48808251665164e-25,6.51429764509732e-21,20.1861324019471,0.377,0.12,p_adj_and_log2FC,TRUE
Clec4n,2.78328424046617,5.94214346044664e-24,1.55577200081414e-19,18.8080540487625,0.386,0.14,p_adj_and_log2FC,TRUE
mt-Cytb,-0.618549921095688,9.88356612675737e-24,2.58771528330761e-19,18.5870835091821,0.992,0.999,p_adj_only,FALSE
Tgfbi,3.74348452817875,2.40892231720314e-22,6.30704041090125e-18,17.2001743863564,0.169,0.026,p_adj_and_log2FC,TRUE
Clec4e,2.51299760882576,4.31374758416587e-21,1.12942539248631e-16,15.9471424523945,0.212,0.045,p_adj_and_log2FC,TRUE
Itgam,1.95809936768493,2.03637061069185e-20,5.33162553291339e-16,15.2731403608899,0.419,0.17,p_adj_and_log2FC,TRUE
Slpi,3.61835724161257,2.5078943133499e-20,6.56616889121272e-16,15.1826879507906,0.153,0.023,p_adj_and_log2FC,TRUE
Ccl6,1.76453336632448,7.07568443458506e-20,1.85255569866306e-15,14.7322287257193,0.623,0.36,p_adj_and_log2FC,TRUE
Lpl,2.88921394505878,1.6156727599749e-19,4.23015442016629e-15,14.3736437785819,0.403,0.172,p_adj_and_log2FC,TRUE
Ftl1,1.89476462633123,2.24930021995823e-19,5.88911783589464e-15,14.2299497557556,0.805,0.63,p_adj_and_log2FC,TRUE
Cd33,2.96401938380274,3.54203907353316e-19,9.27376670232451e-15,14.0327438337332,0.157,0.026,p_adj_and_log2FC,TRUE
Mmp12,4.84497736021748,3.66778557478337e-19,9.60299619189781e-15,14.0175932433572,0.275,0.087,p_adj_and_log2FC,TRUE
Csf2rb,2.16017978533566,8.45740980233896e-19,2.21431903444839e-14,13.6547598067099,0.301,0.1,p_adj_and_log2FC,TRUE
Il1rn,3.38848707196037,1.76153789012831e-18,4.61205850393394e-14,13.3361051923196,0.195,0.043,p_adj_and_log2FC,TRUE
Wfdc17,2.76727615526607,2.37628166246082e-18,6.22158064865491e-14,13.2060992648623,0.364,0.15,p_adj_and_log2FC,TRUE
Cstdc4,4.75898412742711,9.23125002263588e-18,2.41692588092653e-13,12.6167366677546,0.297,0.106,p_adj_and_log2FC,TRUE
Sirpb1c,2.14179692605341,1.48102004774667e-17,3.87760668901032e-13,12.4114362441111,0.225,0.06,p_adj_and_log2FC,TRUE
Alox5ap,1.67831276984279,1.69526475885343e-17,4.43854219163005e-13,12.3527596474734,0.419,0.181,p_adj_and_log2FC,TRUE
Mcemp1,4.30306059394264,5.00858094070196e-17,1.31134666189459e-12,11.8822824849336,0.089,0.007,p_adj_and_log2FC,TRUE
Ly6e,0.576678218190315,9.09623290289381e-17,2.38157569863566e-12,11.6231356098369,0.983,0.928,p_adj_only,FALSE
Csta2,3.39560849995349,1.27986966962389e-16,3.35095476900926e-12,11.4748314342066,0.292,0.107,p_adj_and_log2FC,TRUE
Tmsb10,0.689671997708545,2.80044981156742e-16,7.33213769664581e-12,11.1347693876362,0.992,0.974,p_adj_only,FALSE
Cybb,2.13616736345795,3.71293041187092e-16,9.72119440436044e-12,11.0122803717656,0.428,0.203,p_adj_and_log2FC,TRUE
App,1.27198675431565,4.35719415693128e-16,1.14080057416775e-11,10.9427902689107,0.436,0.195,p_adj_and_log2FC,TRUE
Cd300lf,2.12891951353069,8.95806194648018e-16,2.34539977882744e-11,10.6297831201383,0.335,0.137,p_adj_and_log2FC,TRUE
Ccl9,2.25737256686943,1.3947605150395e-15,3.65176198047643e-11,10.4374975372534,0.386,0.18,p_adj_and_log2FC,TRUE
Fth1,2.3618504663425,1.419028246527e-15,3.71529975505698e-11,10.4300061410648,0.928,0.902,p_adj_and_log2FC,TRUE
S100a8,5.11408373363833,1.53968988253978e-15,4.03121605046566e-11,10.3945639254861,0.267,0.094,p_adj_and_log2FC,TRUE
Ifitm3,1.08703674126136,1.80721984507239e-15,4.73166299836854e-11,10.3249861945515,0.555,0.322,p_adj_and_log2FC,TRUE
Lcn2,3.64927030947685,2.10525333960598e-15,5.51197429375637e-11,10.2586928165188,0.182,0.046,p_adj_and_log2FC,TRUE
Aldoa,0.5828320289377,3.44626115888287e-15,9.02300096618712e-11,10.0446489961279,0.975,0.964,p_adj_only,FALSE
Psap,1.31961648706944,5.36338300902576e-15,1.40424093942312e-10,9.85255836963892,0.809,0.672,p_adj_and_log2FC,TRUE
Arcn1,1.26336555938944,6.16454882765406e-15,1.61400217405639e-10,9.79209588462011,0.513,0.279,p_adj_and_log2FC,TRUE
Ccnd2,-0.938004486176471,8.53931629810969e-15,2.23576379317108e-10,9.65057408126018,0.826,0.911,p_adj_and_log2FC,TRUE
Tnfaip2,1.74693846924594,1.3744853391336e-14,3.5986775149196e-10,9.44385706964772,0.318,0.129,p_adj_and_log2FC,TRUE
Anxa1,1.5306096299701,2.43965534231185e-14,6.38750561724088e-10,9.19466870493384,0.432,0.22,p_adj_and_log2FC,TRUE
Ifitm1,1.11518252149874,6.39346242337177e-13,1.6739363316872e-08,7.77626106445672,0.403,0.2,p_adj_and_log2FC,TRUE
