Gene,avg_log2FC,p_val,p_val_adj,neg_log10_p_adj,pct.1,pct.2,Class,Labelled
Mmp12,4.91117227947187,0,0,Inf,0.636,0.171,p_adj_and_log2FC,TRUE
Calr,2.24658730091502,0,0,Inf,0.871,0.66,p_adj_and_log2FC,TRUE
Fth1,1.66796666575334,0,0,Inf,1,0.999,p_adj_and_log2FC,TRUE
Ftl1,1.28351877925737,0,0,Inf,1,0.999,p_adj_and_log2FC,TRUE
Tpt1,1.41598079631082,1.50210871503995e-293,3.93282103771759e-289,288.405295815629,0.984,0.951,p_adj_and_log2FC,TRUE
S100a6,2.17641222521864,3.812725812202e-277,9.98247872150728e-273,272.000761606868,0.831,0.506,p_adj_and_log2FC,TRUE
Mmp8,3.33803990630023,1.5912027654105e-275,4.16608708039776e-271,270.380271656582,0.55,0.155,p_adj_and_log2FC,TRUE
Fcgr4,-1.73130381150675,3.78430060543225e-271,9.90805584514271e-267,266.004011554249,0.534,0.885,p_adj_and_log2FC,TRUE
Hspa5,2.14795544667759,5.79229125935813e-263,1.51653769752514e-258,257.81914678969,0.823,0.569,p_adj_and_log2FC,TRUE
Tmsb4x,1.23186963584801,5.02509337240867e-262,1.31566994676404e-257,256.880853045583,0.992,0.997,p_adj_and_log2FC,TRUE
Tmsb10,1.97598869639507,3.78531280878186e-253,9.91070599595266e-249,248.003895407147,0.922,0.741,p_adj_and_log2FC,TRUE
Gbp2,-1.0464471908599,1.58574166734617e-251,4.15178883344573e-247,246.381764743503,0.822,0.984,p_adj_and_log2FC,TRUE
Wfdc17,2.3518104936207,2.00716715675328e-237,5.25516504981145e-233,232.279413639465,0.831,0.597,p_adj_and_log2FC,TRUE
Sh3bgrl3,1.18968182207979,7.31914045336173e-234,1.91629735349917e-229,228.717537100182,0.962,0.913,p_adj_and_log2FC,TRUE
Il1rn,2.82746997232981,3.57101622876783e-231,9.34963469015993e-227,226.029205357592,0.6,0.228,p_adj_and_log2FC,TRUE
Gbp4,-1.44854511293939,1.59852528798089e-230,4.18525890899157e-226,225.378277670462,0.537,0.879,p_adj_and_log2FC,TRUE
Spp1,2.7878577041837,5.69524111429475e-225,1.49112802854465e-220,219.826485066337,0.695,0.343,p_adj_and_log2FC,TRUE
Anxa1,1.95477514001097,6.07703144408183e-204,1.5910883726895e-199,198.798305697974,0.751,0.466,p_adj_and_log2FC,TRUE
Clec4n,1.79466927164989,2.21501741903753e-203,5.79935860652405e-199,198.236620035584,0.858,0.635,p_adj_and_log2FC,TRUE
Mmp13,5.32486087689554,1.02709728166948e-202,2.68914610286703e-198,197.570385601665,0.295,0.039,p_adj_and_log2FC,TRUE
Plin2,-1.20572707974659,1.6337398214062e-202,4.27745760040573e-198,197.368814286638,0.712,0.936,p_adj_and_log2FC,TRUE
Eef1a1,1.01522708494651,7.29294984599837e-197,1.90944012867929e-192,191.719093954568,0.984,0.96,p_adj_and_log2FC,TRUE
H3f3a,1.32912607824743,4.58652297485052e-193,1.20084344527536e-188,187.920513608155,0.895,0.73,p_adj_and_log2FC,TRUE
S100a4,3.49200381592233,1.34049430540173e-192,3.50968219040281e-188,187.454732208094,0.311,0.049,p_adj_and_log2FC,TRUE
