PlotOrder,Description,ID,PercentSet,Count,setSize,qvalue,pvalue,p.adjust,NES,enrichmentScore,core_enrichment
1,CYTOKINE PRODUCTION,GOBP_CYTOKINE_PRODUCTION,0.226244,100,442,4.81092290808577e-07,2.77289096950697e-09,6.0122800668251e-07,1.858982,0.407483,Mmp12/Fn1/Cd24a/Mmp8/Inhba/Htr2b/Ccr2/F11r/Gprc5b/Pf4/Cd200/Hspa1a/H2-M2/Clec4e/Rasgrp1/Ptgs2/Cd276/Rgcc/Lpl/Il1b/Anxa1/Isg15/Axl/Il1rl2/Sphk1/Malt1/Il1r2/Ccbe1/Il1a/Clec4n/Klf4/Rsad2/Fgr/Icosl/Orm1/Ifi205/Hspa1b/C3/Alox5/Igf2bp2/Cd33/Ccl3/Acp5/Hmox1/Furin/Arg2/Nos2/Irf7/Trim6/Ltf/Cd55/Zfpm1/Cxcl5/Il6st/Arg1/Anxa4/Fcgr2b/Xbp1/Ezr/Clec7a/Tnfrsf8/Acod1/Pira2/Pglyrp1/Cybb/Ptger4/Lrrk2/Angpt1/Pira12/Tnfaip3/Cd81/Lilrb4b/Cx3cr1/Prkd2/Per1/Zfp36/Clec5a/Oas1g/Tspo/Zc3h12a/H2-Q7/Cd274/Rftn1/Gpnmb/Cd244a/Tnfrsf21/Bst2/Osm/Pira13/Gstp1/Sorl1/Tnfrsf1b/Tnfrsf14/Lbp/Litaf/Oas3/Ptafr/Arrdc4/Tnf/Cd40
2,AMEBOIDAL TYPE CELL MIGRATION,GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,0.230769,48,208,0.000180535436727135,3.61135304373872e-06,0.000225617751173236,1.89076,0.435828,Fn1/Emp2/Lrg1/Itgb3/Htr2b/S100a9/Ptgs2/Calr/Rgcc/Dab2ip/Anxa1/Gadd45a/Pdgfb/Hbegf/Ccbe1/Klf4/Plk2/Prr5l/Sema3c/Itgb7/Hmox1/Kdr/Tmsb4x/Plxnd1/Angpt1/Dock5/Glipr2/Coro1a/Rffl/Mmp9/Anxa3/Sema4a/Zfand5/Prkd2/Dusp10/Atp2b4/Hyal1/Ednrb/Gpx1/Zc3h12a/Sema4d/Plpp3/Met/Akt3/Rras/Tnf/Cd40/Sema3a
3,CELLULAR RESPONSE TO LIPID,GOBP_CELLULAR_RESPONSE_TO_LIPID,0.238095,70,294,4.79852017273334e-05,7.33616795194288e-07,5.99678018874387e-05,1.834006,0.411106,Ppbp/Cxcl3/Mmp8/Inhba/Adcy2/Spp1/Il36g/Pf4/Cxcl2/Hspa1a/Calr/Ass1/Lpl/Dab2ip/Il1b/Sgk1/Anxa1/Axl/Malt1/Lrp8/Il1a/Klf4/Ccl2/Cxcl1/Hspa1b/Nos2/Ltf/Ncoa4/Klf9/Cd55/Cxcl5/Cmpk2/Xbp1/Acod1/Pira2/Ptger4/Ldlr/Pira12/Tnfaip3/Pim1/Padi2/Mmp9/Cx3cr1/Per1/Zfp36/Ednrb/Tspo/Zc3h12a/Cd274/Gpr155/Zfp36l1/H2az1/Mapk3/Pira13/Gstp1/Nfkbia/Ahr/Tnfrsf1b/Lbp/Cd68/Litaf/Efna5/Ptafr/Tnf/Tnip2/Cd40/Tnip3/Cflar/Ppard/Ptpn22
4,REGULATION OF RESPONSE TO CYTOKINE STIMULUS,GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS,0.245455,27,110,6.06453281781312e-05,9.86947524954598e-07,7.57893453538052e-05,2.082132,0.521595,Mmp12/Cd24a/Mmp8/Il1rn/Hspa1a/Isg15/Axl/Sphk1/Il1r2/Csf1/Cav1/Klf4/Hspa1b/Irf7/Trim6/Arg1/Ccl5/Angpt1/Tnfaip3/Padi2/Cd300lf/Rffl/Usp18/Oas1g/Ecm1/Cxcr4/Gstp1
5,INFLAMMATORY RESPONSE,GOBP_INFLAMMATORY_RESPONSE,0.255172,111,435,5.06785087631688e-10,5.15466630888762e-13,6.33336667151992e-10,2.030554,0.445192,Ppbp/Fn1/Ptges/Cxcl3/Mmp8/Ccr2/F11r/Il1rn/S100a9/Gprc5b/Il36g/Pf4/Fabp4/Cxcl2/Cd200/Ltb4r1/Cxcr2/Ptger3/Rasgrp1/Ptgir/Ptgs2/Ccl12/Ass1/Cst7/S100a8/Lpl/Dab2ip/Il1b/Anxa1/Axl/Il1rl2/Sphk1/Il1r2/Il1a/Csf1/Klf4/Ccl2/Fgr/Cxcl1/Mgll/Orm1/Ifi205/Plk2/C3/Alox5/Ccl9/Ccl3/Nupr1/Acp5/Txnip/Hmox1/Furin/Socs3/Cd5l/Nos2/Cxcl5/Il6st/Tmsb4x/Fcgr2b/Hp/Clec7a/Acod1/Pglyrp1/Cybb/Ccl5/Ptger4/Lrrk2/Ldlr/Tnfaip3/Rab44/Cd81/Lilrb4b/Mmp9/Lipa/Usp18/Dagla/Cx3cr1/Lyz2/Dusp10/Per1/Zfp36/Napepld/Itgb2/Hyal1/Fbxl2/Mgst2/Ccl7/Ednrb/Gpx1/Zc3h12a/Ecm1/Ly75/Lgals1/Tollip/Cxcr4/Ccl6/Osm/Il18rap/Gstp1/Nfkbia/Ahr/Tnfrsf1b/Lbp/Itgam/Rbpj/Cd68/Ccrl2/Ptafr/Tnf/Tnip2/Cd40
6,REGULATION OF INFLAMMATORY RESPONSE,GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE,0.263158,55,209,1.0654375186825e-05,1.08368912499826e-07,1.33149270491453e-05,2.007588,0.462769,Ptges/Mmp8/Ccr2/S100a9/Gprc5b/Fabp4/Cd200/Ptger3/Ptgs2/Cst7/S100a8/Lpl/Il1b/Anxa1/Il1rl2/Sphk1/Klf4/Fgr/Mgll/Plk2/C3/Alox5/Ccl3/Nupr1/Acp5/Furin/Socs3/Il6st/Tmsb4x/Fcgr2b/Acod1/Pglyrp1/Ccl5/Ptger4/Lrrk2/Ldlr/Tnfaip3/Cd81/Mmp9/Usp18/Dagla/Dusp10/Zfp36/Napepld/Fbxl2/Mgst2/Ednrb/Gpx1/Lgals1/Osm/Gstp1/Nfkbia/Ahr/Tnfrsf1b/Lbp
7,RESPONSE TO LIPID,GOBP_RESPONSE_TO_LIPID,0.266821,115,431,1.48901249139496e-07,3.78259857812429e-10,1.8608404857665e-07,1.912988,0.419089,Ppbp/Dio2/Cxcl3/Mmp8/Inhba/Il1rn/Adcy2/Spp1/S100a9/Il36g/Slpi/Pf4/Cxcl2/Hspa1a/Ptgir/Ptgs2/Calr/Ass1/S100a8/Lpl/Dab2ip/Il1b/Socs2/Sgk1/Anxa1/Axl/Malt1/Fosb/Lrp8/Il1a/Cav1/Klf4/F7/Ccl2/Cxcl1/Hspa1b/Acsl1/Ccl3/Acp5/Txnip/Pcna/Nos2/Trim6/Ltf/Ncoa4/Klf9/Cd55/Cxcl5/Sdc1/Cmpk2/Xbp1/Acod1/Pira2/Alas1/Cybb/Ptger4/Ifnar1/Cdkn2d/Ldlr/Pira12/Tnfaip3/Pim1/Padi2/Mmp9/Anxa3/Lipa/Cx3cr1/Dusp10/Per1/Zfp36/Smad6/Mgst2/Ednrb/Tspo/Gpx1/Zc3h12a/Cd274/Gpr155/Gch1/Zfp36l1/H2az1/Mapk3/Pira13/Gstp1/Nfkbia/Ahr/Tnfrsf1b/Lbp/Itgam/Cd68/Litaf/Efna5/Ptafr/Tnf/Tnip2/Cd40/Nasp/Tnip3/Cflar/Ppard/Ptpn22/Abcg1/Elane/Pdk3/Car9/Trim16/Il12rb2/Dnmt3a/Lilra6/Cdkn1b/Rpl27/Ripk2/Rara/Rpl13a/Naglu
8,POSITIVE REGULATION OF CYTOKINE PRODUCTION,GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION,0.277978,77,277,6.06453281781312e-05,9.83049847018574e-07,7.57893453538052e-05,1.841947,0.415007,Mmp12/Mmp8/Htr2b/Ccr2/Gprc5b/Pf4/Cd200/Hspa1a/Clec4e/Rasgrp1/Ptgs2/Cd276/Rgcc/Lpl/Il1b/Anxa1/Isg15/Il1rl2/Sphk1/Malt1/Ccbe1/Il1a/Clec4n/Rsad2/Fgr/Orm1/Ifi205/Hspa1b/C3/Ccl3/Hmox1/Nos2/Irf7/Trim6/Cd55/Zfpm1/Il6st/Fcgr2b/Xbp1/Clec7a/Tnfrsf8/Pira2/Cybb/Ptger4/Lrrk2/Pira12/Cd81/Prkd2/Clec5a/Oas1g/H2-Q7/Cd274/Rftn1/Cd244a/Osm/Pira13/Sorl1/Tnfrsf14/Lbp/Oas3/Ptafr/Arrdc4/Tnf/Cd40/Cd84/Ptpn22/Elane/S100a13/Trim16/Il12rb2/Fcer1g/Lilra6/Cd74/Tlr7/Ripk2/Rara/Adora2b
9,NEGATIVE REGULATION OF IMMUNE SYSTEM PROCESS,GOBP_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,0.283217,81,286,4.44536806910707e-05,6.22880763198339e-07,5.55544088779166e-05,1.85244,0.415881,Mmp12/Fn1/Inhba/Gdf15/Ccr2/Cd200/H2-M2/Cst7/Dab2ip/Anxa1/Isg15/Axl/Aurkb/Ccl2/Fgr/Ifi205/Plk2/Id2/Cd33/Ccl3/Acp5/Hmox1/Furin/Arg2/Ltf/Myc/Mndal/Cd55/Zfpm1/Arg1/Fcgr2b/Il7r/Ezr/Acod1/Pira2/Pglyrp1/Ptger4/Ldlr/Angpt1/Pira12/Tnfaip3/Lilrb4b/Pim1/Padi2/Cd300lf/Usp18/Cx3cr1/Dusp10/Cdk6/Sqstm1/Fbxl2/Gpr137b/Oas1g/Gpx1/Zc3h12a/H2-Q7/Cd274/Lgals3/Gpnmb/Tnfrsf21/Bst2/Zdhhc18/Dusp1/Pira13/Fgl2/Ahr/Tnfrsf14/Cd68/Tarm1/Oas3/Tnf/Cd84/Runx3/Ascl2/Tsc22d3/Smad7/Tcta/Rps19/Ptpn22/Rin3/Socs6
10,CYTOKINE MEDIATED SIGNALING PATHWAY,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY,0.294118,80,272,9.87144660143556e-12,6.69370040782568e-15,1.23364898516227e-11,2.306344,0.519907,Ppbp/Mmp12/Cxcl3/Cd24a/Mmp8/Inhba/Ccr2/Il1rn/Il36g/Pf4/Cxcl2/Hspa1a/Cxcr2/Ccl12/Il1b/Oasl1/Isg15/Pdgfb/Axl/Il1rl2/Sphk1/Lrp8/Il1r2/Il1a/Csf1/Cav1/Ccl2/Cxcl1/Hspa1b/Acsl1/Ccl9/Ccl3/Traf1/Irf7/Trim6/Cxcl5/Il6st/Arg1/Tmsb4x/Sh2b2/Il7r/Clcf1/Pira2/Ccl5/Plp2/Ifnar1/Angpt1/Pira12/Tnfaip3/Mx2/Lilrb4b/Padi2/Fas/Cd300lf/Rffl/Il2rg/Usp18/Cx3cr1/Ccl7/Oas1g/Ecm1/Ifitm1/Tollip/Cxcr4/Ccl6/Osm/Il18rap/Mapk3/Pira13/Gstp1/Il3ra/Nfkbia/Tnfrsf1b/Tnfrsf14/Ccrl2/Csf2ra/Oas3/Tnf/Tnip2/P4hb
